Name,Photo,Age,Country,Club,Club Photo,Overall Rating,Potential,Height,Weight,Preferred Foot,Best Position,Value,Wage,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Moussa Sissoko,https://www.fifaindex.com/static/FIFA20/images/players/5/183394.png,30,France,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,80,80,"6'2""",201lbs,Right,CDM,€14M,€98K,75,54,70,82,64.0,84,62,77,80,74,84,64.0,82,58.0,85,77.0,91,90,61,85,80.0,76.0,76.0,60,75.0,77,14,8,11,10,8
Olivier Giroud,https://www.fifaindex.com/static/FIFA20/images/players/5/178509.png,33,France,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,80,80,"6'4""",201lbs,Left,ST,€12M,€120K,64,81,91,75,81.0,70,65,58,80,43,47,55.0,80,53.0,85,82.0,58,89,66,76,42.0,81.0,77.0,83,79.0,37,12,15,11,6,5
Sergio Romero,https://www.fifaindex.com/static/FIFA20/images/players/5/173373.png,32,Argentina,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,80,80,"6'4""",190lbs,Right,GK,€9M,€85K,11,14,12,39,17.0,12,13,48,40,47,44,55.0,80,44.0,61,63.0,35,75,11,33,21.0,11.0,55.0,16,62.0,14,79,76,81,79,83
Sergio Romero,https://www.fifaindex.com/static/FIFA20/images/players/5/173373.png,32,Argentina,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,65,65,"5'9""",154lbs,Right,RW,€525K,€650,67,65,65,64,57.0,67,57,57,68,72,66,66.0,65,64.0,60,53.0,65,50,55,38,34.0,62.0,63.0,80,61.0,55,9,6,12,8,12
Daniel Wass,https://www.fifaindex.com/static/FIFA20/images/players/5/172522.png,30,Denmark,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,80,80,"5'11""",163lbs,Right,CM,€11.5M,€38K,81,75,69,81,71.0,76,85,82,81,74,75,73.0,80,71.0,85,66.0,86,74,79,71,78.0,73.0,78.0,64,75.0,79,11,9,10,13,13
Erik Lamela,https://www.fifaindex.com/static/FIFA20/images/players/5/170368.png,27,Argentina,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,80,80,"6'0""",176lbs,Left,CAM,€15.5M,€94K,77,74,69,81,77.0,84,80,73,83,76,75,75.0,77,74.0,81,63.0,75,67,82,85,46.0,79.0,81.0,75,78.0,48,10,15,11,8,13
Lucas Biglia,https://www.fifaindex.com/static/FIFA20/images/players/5/158963.png,33,Argentina,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,81,81,"5'10""",139lbs,Right,CDM,€8.5M,€46K,74,50,54,85,78.0,80,76,83,82,55,55,74.0,76,78.0,77,60.0,69,61,75,83,82.0,50.0,78.0,72,80.0,80,14,12,7,12,7
Erling Braut Håland,https://www.fifaindex.com/static/FIFA20/images/players/5/239085.png,19,Norway,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,79,90,"6'4""",192lbs,Left,ST,€20M,€32K,46,82,69,70,72.0,72,62,49,77,79,89,75.0,77,65.0,80,70.0,77,85,70,75,35.0,80.0,65.0,80,82.0,38,7,14,13,11,7
Dan-Axel Zagadou,https://www.fifaindex.com/static/FIFA20/images/players/5/238476.png,20,France,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,79,86,"6'5""",198lbs,Left,CB,€16M,€48K,46,26,79,75,25.0,50,25,72,51,52,67,39.0,72,34.0,66,61.0,64,92,25,75,77.0,31.0,59.0,30,78.0,77,9,13,5,14,14
Mason Mount,https://www.fifaindex.com/static/FIFA20/images/players/5/233064.png,21,England,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,79,87,"5'10""",154lbs,Right,CAM,€18.5M,€76K,72,76,59,78,61.0,78,76,72,80,77,70,79.0,78,76.0,76,50.0,78,52,75,52,48.0,77.0,80.0,60,77.0,45,11,12,13,8,12
Benjamin Pavard,https://www.fifaindex.com/static/FIFA20/images/players/5/226851.png,23,France,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,79,85,"6'1""",168lbs,Right,CDM,€15.5M,€72K,70,37,73,78,67.0,66,51,79,76,68,69,67.0,77,65.0,71,86.0,75,75,53,69,84.0,54.0,66.0,51,77.0,82,9,7,15,7,15
Krzysztof Piątek,https://www.fifaindex.com/static/FIFA20/images/players/5/223113.png,24,Poland,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,79,85,"6'0""",170lbs,Right,ST,€17.5M,€42K,51,84,80,64,75.0,72,40,35,76,78,75,74.0,76,61.0,80,81.0,73,76,69,51,31.0,86.0,52.0,75,72.0,33,10,15,10,6,13
Stanislav Lobotka,https://www.fifaindex.com/static/FIFA20/images/players/5/216435.png,25,Slovakia,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,79,84,"5'7""",141lbs,Right,CM,€16.5M,€25K,68,64,45,84,43.0,77,55,77,82,66,63,76.0,74,81.0,62,79.0,85,59,68,57,74.0,67.0,76.0,56,74.0,69,10,7,16,13,14
Elseid Hysaj,https://www.fifaindex.com/static/FIFA20/images/players/5/210864.png,25,Albania,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,79,83,"6'0""",154lbs,Right,RB,€14.5M,€57K,75,47,66,76,40.0,73,30,70,75,78,79,75.0,77,69.0,68,68.0,85,67,43,79,80.0,63.0,59.0,40,76.0,77,12,6,14,9,11
Leandro Paredes,https://www.fifaindex.com/static/FIFA20/images/players/5/207439.png,25,Argentina,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,79,83,"5'11""",165lbs,Right,CM,€16M,€75K,76,55,60,82,71.0,78,78,80,82,74,69,77.0,73,76.0,82,63.0,79,69,77,83,72.0,74.0,82.0,64,74.0,73,9,14,6,9,10
Denis Cheryshev,https://www.fifaindex.com/static/FIFA20/images/players/5/206225.png,29,Russia,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,79,79,"5'10""",163lbs,Left,LM,€12.5M,€41K,89,78,58,76,69.0,79,61,79,78,76,77,73.0,78,72.0,81,75.0,71,67,84,62,62.0,75.0,78.0,64,70.0,47,16,7,14,7,8
Luke Shaw,https://www.fifaindex.com/static/FIFA20/images/players/5/205988.png,24,England,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,79,81,"5'11""",165lbs,Left,LB,€13.5M,€85K,75,44,78,76,54.0,79,58,71,79,79,81,75.0,80,74.0,70,81.0,74,75,54,82,77.0,73.0,75.0,53,76.0,80,10,12,13,7,7
Ben Davies,https://www.fifaindex.com/static/FIFA20/images/players/5/205923.png,26,Wales,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,79,81,"6'0""",168lbs,Left,LB,€13.5M,€81K,78,58,66,79,48.0,75,48,70,78,74,73,68.0,78,68.0,65,74.0,84,69,52,76,79.0,64.0,75.0,54,74.0,78,11,7,6,7,14
Ben Davies,https://www.fifaindex.com/static/FIFA20/images/players/5/205923.png,26,Wales,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,73,80,"6'1""",163lbs,Left,CB,€5M,€18K,61,36,72,68,43.0,58,40,65,65,73,71,64.0,67,64.0,42,77.0,75,77,39,64,71.0,37.0,34.0,48,71.0,75,6,15,10,15,6
Michy Batshuayi,https://www.fifaindex.com/static/FIFA20/images/players/5/204529.png,26,Belgium,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,79,82,"6'1""",201lbs,Right,ST,€16M,€105K,65,81,75,63,82.0,78,46,36,80,77,75,75.0,79,76.0,81,80.0,65,78,74,63,23.0,83.0,62.0,67,81.0,37,9,10,16,7,15
Leonardo Spinazzola,https://www.fifaindex.com/static/FIFA20/images/players/5/202884.png,26,Italy,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,79,80,"6'1""",165lbs,Right,RWB,€15M,€47K,82,60,66,78,59.0,80,41,72,80,78,83,76.0,76,61.0,68,76.0,89,66,68,68,76.0,74.0,72.0,59,76.0,76,11,13,12,15,14
Eric Dier,https://www.fifaindex.com/static/FIFA20/images/players/5/202335.png,26,England,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,79,83,"6'3""",198lbs,Right,CB,€14.5M,€77K,67,52,81,76,51.0,65,74,77,70,52,55,52.0,77,38.0,82,78.0,65,92,72,91,79.0,53.0,64.0,70,77.0,80,11,14,6,13,9
Faouzi Ghoulam,https://www.fifaindex.com/static/FIFA20/images/players/5/201454.png,28,Algeria,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,79,79,"6'0""",176lbs,Left,LWB,€11M,€62K,85,54,68,79,52.0,79,68,74,80,69,78,71.0,76,62.0,80,71.0,83,66,69,74,76.0,69.0,69.0,76,75.0,77,12,7,8,8,13
Ross Barkley,https://www.fifaindex.com/static/FIFA20/images/players/5/199189.png,26,England,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,79,82,"6'1""",192lbs,Right,CAM,€16M,€98K,65,68,65,83,61.0,83,70,79,84,69,70,65.0,76,61.0,81,64.0,69,76,80,74,51.0,73.0,80.0,65,80.0,54,9,14,12,6,10
Serge Aurier,https://www.fifaindex.com/static/FIFA20/images/players/5/197853.png,27,Ivory Coast,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,79,80,"5'9""",168lbs,Right,RB,€13M,€81K,81,54,73,77,47.0,75,30,69,78,77,77,70.0,79,76.0,71,92.0,73,71,58,86,77.0,67.0,71.0,64,75.0,74,7,10,15,16,9
Shkodran Mustafi,https://www.fifaindex.com/static/FIFA20/images/players/5/192227.png,27,Germany,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,79,81,"6'0""",181lbs,Right,CB,€13M,€76K,53,58,81,75,51.0,53,47,69,70,58,62,63.0,76,67.0,66,81.0,68,78,52,84,75.0,49.0,55.0,54,73.0,74,11,9,15,10,6
Nemanja Matić,https://www.fifaindex.com/static/FIFA20/images/players/5/191202.png,31,Serbia,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,79,79,"6'4""",183lbs,Left,CDM,€10.5M,€100K,71,59,74,82,73.0,78,67,83,77,45,51,43.0,75,47.0,84,65.0,66,83,72,77,80.0,69.0,70.0,64,81.0,78,7,15,12,14,9
Javier Pastore,https://www.fifaindex.com/static/FIFA20/images/players/5/191180.png,30,Argentina,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,79,79,"6'2""",172lbs,Right,CAM,€11.5M,€47K,77,70,61,84,78.0,83,69,80,85,60,63,77.0,73,63.0,78,49.0,53,60,74,62,69.0,74.0,82.0,73,78.0,45,14,9,6,10,12
Kwadwo Asamoah,https://www.fifaindex.com/static/FIFA20/images/players/5/186832.png,31,Ghana,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,79,79,"5'8""",165lbs,Left,CM,€10M,€60K,78,55,68,80,76.0,82,68,79,81,75,73,85.0,78,83.0,84,77.0,72,72,76,82,79.0,77.0,76.0,64,76.0,80,5,4,3,4,5
Sven Ulreich,https://www.fifaindex.com/static/FIFA20/images/players/5/186569.png,31,Germany,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,79,79,"6'4""",192lbs,Right,GK,€8.5M,€68K,14,12,8,41,13.0,13,15,38,22,41,40,36.0,79,39.0,51,66.0,29,57,11,25,14.0,8.0,42.0,22,45.0,16,79,71,68,79,85
Mateo Musacchio,https://www.fifaindex.com/static/FIFA20/images/players/5/186547.png,29,Argentina,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,79,79,"5'11""",161lbs,Right,CB,€11M,€42K,55,40,76,69,36.0,65,45,67,67,68,66,72.0,76,68.0,57,83.0,65,73,53,76,83.0,50.0,64.0,57,76.0,83,5,11,12,6,12
Diego Perotti,https://www.fifaindex.com/static/FIFA20/images/players/5/183900.png,31,Argentina,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,79,79,"5'10""",154lbs,Right,CAM,€12M,€51K,79,67,57,80,60.0,87,64,69,87,78,75,81.0,76,78.0,77,62.0,61,54,74,51,36.0,76.0,81.0,88,80.0,58,5,8,14,6,8
Federico Fazio,https://www.fifaindex.com/static/FIFA20/images/players/5/179847.png,32,Argentina,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,79,79,"6'5""",187lbs,Right,CB,€8M,€43K,44,41,86,69,35.0,48,37,62,70,33,33,30.0,76,32.0,63,41.0,69,89,26,80,80.0,32.0,47.0,26,79.0,81,8,9,12,11,14
David Ospina,https://www.fifaindex.com/static/FIFA20/images/players/5/176550.png,31,Colombia,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,80,80,"6'0""",176lbs,Right,GK,€10M,€51K,11,10,15,36,12.0,12,13,32,32,34,34,44.0,75,50.0,59,75.0,29,38,12,20,25.0,16.0,50.0,26,60.0,11,83,73,78,78,85
Antonio Candreva,https://www.fifaindex.com/static/FIFA20/images/players/5/173221.png,32,Italy,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,79,79,"5'11""",154lbs,Right,CAM,€10M,€65K,79,73,55,79,75.0,80,71,74,82,72,75,73.0,75,76.0,87,35.0,83,63,81,66,67.0,79.0,75.0,83,73.0,61,10,4,14,4,14
Danny Rose,https://www.fifaindex.com/static/FIFA20/images/players/5/169595.png,29,England,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,79,79,"5'9""",168lbs,Left,LB,€11M,€85K,77,57,62,77,60.0,78,57,66,80,78,76,74.0,82,79.0,68,79.0,74,70,62,87,79.0,66.0,73.0,57,76.0,80,10,11,8,13,13
Danny Rose,https://www.fifaindex.com/static/FIFA20/images/players/5/169595.png,29,England,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,63,63,"5'7""",146lbs,Left,CM,€325K,€4K,55,54,50,66,55.0,57,59,61,64,63,57,70.0,59,77.0,61,74.0,78,63,63,52,61.0,57.0,60.0,56,70.0,62,8,16,10,10,7
Danny Rose,https://www.fifaindex.com/static/FIFA20/images/players/5/169595.png,29,England,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,64,66,"5'8""",159lbs,Right,ST,€550K,€5K,47,62,65,57,64.0,62,39,49,60,77,79,88.0,58,62.0,64,91.0,67,62,58,71,46.0,63.0,56.0,59,58.0,46,15,13,8,16,8
Scott McTominay,https://www.fifaindex.com/static/FIFA20/images/players/5/237238.png,23,Scotland,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,78,85,"6'4""",194lbs,Right,CDM,€14.5M,€86K,68,66,77,80,62.0,77,34,77,78,70,68,74.0,78,65.0,81,70.0,83,84,71,80,75.0,68.0,74.0,59,78.0,75,9,6,6,10,11
Cengiz Ünder,https://www.fifaindex.com/static/FIFA20/images/players/5/235889.png,22,Turkey,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,78,84,"5'8""",146lbs,Left,LW,€14.5M,€31K,83,71,58,72,69.0,83,68,65,82,85,79,84.0,71,82.0,82,48.0,67,51,82,27,29.0,73.0,73.0,64,68.0,43,9,13,7,9,8
Tammy Abraham,https://www.fifaindex.com/static/FIFA20/images/players/5/231352.png,22,England,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,78,86,"6'5""",192lbs,Right,ST,€15.5M,€77K,50,82,81,68,73.0,70,42,45,75,68,78,65.0,79,56.0,77,70.0,66,79,67,43,22.0,79.0,67.0,72,73.0,35,12,7,8,13,13
Franck Yannick Kessié,https://www.fifaindex.com/static/FIFA20/images/players/5/230938.png,23,Ivory Coast,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,78,84,"6'0""",168lbs,Right,CDM,€14M,€35K,66,64,68,79,60.0,78,48,75,79,69,74,68.0,78,79.0,84,79.0,95,87,76,86,80.0,74.0,70.0,82,76.0,78,9,11,12,12,10
Oleksandr Zinchenko,https://www.fifaindex.com/static/FIFA20/images/players/5/227813.png,23,Ukraine,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,78,85,"5'9""",141lbs,Left,CM,€13M,€82K,81,59,70,82,61.0,79,74,77,81,73,69,77.0,77,78.0,77,72.0,74,59,71,70,77.0,75.0,78.0,59,76.0,78,15,11,13,11,11
Alex Meret,https://www.fifaindex.com/static/FIFA20/images/players/5/225116.png,22,Italy,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,78,89,"6'3""",183lbs,Left,GK,€14M,€36K,15,17,19,29,20.0,16,21,22,22,41,48,37.0,74,48.0,53,68.0,29,65,17,22,22.0,20.0,21.0,21,67.0,10,79,74,70,77,82
Nikola Maksimović,https://www.fifaindex.com/static/FIFA20/images/players/5/215466.png,28,Serbia,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,78,79,"6'4""",192lbs,Right,CB,€10.5M,€54K,45,22,79,59,28.0,49,23,59,61,59,64,49.0,71,58.0,39,65.0,64,86,29,78,80.0,29.0,31.0,26,70.0,79,12,9,5,11,15
Roberto Gagliardini,https://www.fifaindex.com/static/FIFA20/images/players/5/212153.png,25,Italy,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,78,81,"6'3""",170lbs,Right,CDM,€12M,€51K,64,54,73,78,68.0,75,38,75,77,62,60,63.0,72,62.0,76,63.0,85,68,73,74,78.0,68.0,73.0,40,74.0,77,12,6,8,7,9
Bryan Cristante,https://www.fifaindex.com/static/FIFA20/images/players/5/208268.png,24,Italy,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,78,82,"6'1""",176lbs,Right,CM,€13.5M,€37K,68,68,73,81,67.0,76,62,78,80,60,56,63.0,75,54.0,80,57.0,78,76,77,76,72.0,76.0,74.0,58,74.0,74,3,5,3,3,5
Sead Kolašinac,https://www.fifaindex.com/static/FIFA20/images/players/5/207993.png,26,Bosnia & Herzegovina,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,78,81,"6'0""",187lbs,Left,CB,€11.5M,€69K,74,57,74,78,55.0,75,42,62,76,69,79,58.0,74,55.0,82,76.0,79,90,58,93,73.0,73.0,74.0,54,72.0,71,15,9,16,7,9
Lucas Ocampos,https://www.fifaindex.com/static/FIFA20/images/players/5/205632.png,25,Argentina,Sevilla FC ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/481.png,77,80,"6'2""",185lbs,Right,RM,€11.5M,€16K,75,73,77,74,75.0,74,65,70,76,82,83,80.0,83,58.0,77,82.0,91,81,69,83,72.0,71.0,71.0,70,76.0,63,11,8,15,12,7
Diego Demme,https://www.fifaindex.com/static/FIFA20/images/players/5/202325.png,28,Germany,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,78,79,"5'8""",157lbs,Right,CDM,€10.5M,€46K,70,26,57,80,48.0,71,62,76,75,68,52,85.0,75,84.0,62,79.0,92,68,30,82,78.0,62.0,70.0,58,72.0,77,14,10,14,12,9
Marcos Rojo,https://www.fifaindex.com/static/FIFA20/images/players/5/201862.png,29,Argentina,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,78,78,"6'2""",187lbs,Left,CB,€8.5M,€95K,72,50,77,72,48.0,63,57,72,68,67,67,67.0,74,63.0,80,81.0,55,80,63,91,76.0,53.0,57.0,55,70.0,72,7,8,12,15,10
Kévin Malcuit,https://www.fifaindex.com/static/FIFA20/images/players/5/198949.png,28,France,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,78,78,"5'10""",170lbs,Right,RWB,€9M,€54K,79,66,65,77,56.0,80,47,72,76,83,86,78.0,74,76.0,66,72.0,77,73,56,77,73.0,66.0,68.0,55,69.0,74,12,13,12,9,11
Ricardo Rodríguez,https://www.fifaindex.com/static/FIFA20/images/players/5/193352.png,27,Switzerland,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,79,79,"5'11""",170lbs,Left,LB,€11.5M,€40K,84,58,64,76,66.0,74,82,76,76,68,76,72.0,78,70.0,78,73.0,75,73,72,76,80.0,66.0,70.0,80,80.0,80,14,13,14,14,11
Marwin Hitz,https://www.fifaindex.com/static/FIFA20/images/players/5/190243.png,32,Switzerland,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,78,78,"6'4""",196lbs,Right,GK,€6.5M,€49K,12,27,18,29,26.0,13,17,33,17,41,46,41.0,72,31.0,47,67.0,38,78,12,25,23.0,8.0,15.0,22,42.0,13,80,77,63,79,80
Antonio Mirante,https://www.fifaindex.com/static/FIFA20/images/players/5/140293.png,36,Italy,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,78,78,"6'4""",174lbs,Right,GK,€2.8M,€20K,10,17,13,35,15.0,24,13,35,25,44,43,50.0,76,50.0,49,62.0,33,55,15,32,17.0,10.0,43.0,21,70.0,10,79,78,65,79,77
Jules Koundé,https://www.fifaindex.com/static/FIFA20/images/players/5/241486.png,21,France,Sevilla FC ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/481.png,77,86,"5'11""",165lbs,Right,CB,€12.5M,€12K,26,29,78,71,32.0,57,26,59,68,69,69,64.0,77,75.0,41,83.0,68,69,23,66,78.0,28.0,33.0,43,75.0,79,11,10,8,14,13
Merih Demiral,https://www.fifaindex.com/static/FIFA20/images/players/5/238160.png,21,Turkey,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,74,85,"6'4""",187lbs,Right,CB,€9M,€45K,31,32,68,62,34.0,55,23,61,55,67,69,65.0,70,59.0,60,69.0,68,79,38,77,76.0,26.0,38.0,41,69.0,76,15,7,13,6,11
Nicolò Zaniolo,https://www.fifaindex.com/static/FIFA20/images/players/5/238067.png,20,Italy,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,75,87,"6'3""",174lbs,Left,CAM,€11.5M,€20K,58,70,60,75,42.0,76,51,68,77,76,78,68.0,75,77.0,74,46.0,76,78,69,80,57.0,77.0,74.0,49,70.0,63,8,11,11,13,5
Phil Foden,https://www.fifaindex.com/static/FIFA20/images/players/5/237692.png,19,England,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,77,89,"5'7""",152lbs,Left,CAM,€15.5M,€56K,68,66,47,81,48.0,77,57,74,80,77,72,87.0,73,89.0,70,49.0,74,44,61,62,59.0,71.0,76.0,48,78.0,58,8,15,6,10,13
Mattéo Guendouzi,https://www.fifaindex.com/static/FIFA20/images/players/5/236496.png,20,France,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,77,87,"6'1""",150lbs,Right,CM,€14M,€52K,67,56,67,79,55.0,75,67,80,77,71,73,74.0,75,68.0,74,68.0,79,72,68,78,73.0,67.0,79.0,62,78.0,71,6,13,6,13,11
Theo Hernández,https://www.fifaindex.com/static/FIFA20/images/players/5/232656.png,22,France,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,77,83,"6'0""",181lbs,Left,LB,€11M,€25K,78,50,72,76,62.0,78,64,60,72,90,93,75.0,70,61.0,75,62.0,79,79,56,75,69.0,60.0,52.0,41,74.0,60,12,10,7,7,7
Daniel James,https://www.fifaindex.com/static/FIFA20/images/players/5/232104.png,22,Wales,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,77,86,"5'7""",159lbs,Right,RM,€14M,€69K,74,68,44,72,50.0,74,54,62,75,96,95,84.0,72,81.0,78,53.0,86,55,69,68,40.0,74.0,68.0,55,71.0,50,7,6,11,15,9
Mouctar Diakhaby,https://www.fifaindex.com/static/FIFA20/images/players/5/230578.png,23,France,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,77,82,"6'4""",172lbs,Right,CB,€10.5M,€26K,28,36,83,71,31.0,56,26,57,63,57,59,49.0,70,38.0,45,86.0,70,83,29,76,76.0,47.0,57.0,49,73.0,75,15,11,10,14,11
Kieran Tierney,https://www.fifaindex.com/static/FIFA20/images/players/5/226491.png,22,Scotland,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,77,86,"5'10""",172lbs,Left,LB,€12.5M,€55K,77,52,59,73,27.0,75,56,68,74,87,89,76.0,74,77.0,79,80.0,89,76,66,82,71.0,67.0,72.0,36,74.0,73,13,16,8,12,13
Mahmoud Dahoud,https://www.fifaindex.com/static/FIFA20/images/players/5/218339.png,24,Germany,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,77,82,"5'10""",150lbs,Right,CM,€11.5M,€54K,67,58,43,77,59.0,82,53,74,81,78,68,87.0,77,88.0,81,71.0,89,57,73,68,77.0,66.0,79.0,55,62.0,72,14,7,9,12,11
Mattia De Sciglio,https://www.fifaindex.com/static/FIFA20/images/players/5/206058.png,27,Italy,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,77,78,"6'0""",172lbs,Right,RB,€9M,€77K,78,33,68,74,41.0,74,39,68,75,73,76,79.0,72,77.0,67,77.0,81,66,51,74,76.0,64.0,60.0,49,72.0,79,5,3,5,5,3
Amin Younes,https://www.fifaindex.com/static/FIFA20/images/players/5/205966.png,26,Germany,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,77,78,"5'6""",157lbs,Right,CAM,€10.5M,€53K,60,58,44,77,62.0,88,59,57,86,83,71,83.0,76,92.0,55,37.0,78,47,56,55,42.0,74.0,78.0,58,69.0,30,15,11,9,15,15
Paulo Gazzaniga,https://www.fifaindex.com/static/FIFA20/images/players/5/205186.png,28,Argentina,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,77,80,"6'5""",198lbs,Right,GK,€8M,€56K,21,12,14,32,8.0,20,21,49,20,63,65,64.0,59,49.0,63,66.0,45,67,19,32,16.0,13.0,57.0,41,55.0,23,80,76,84,77,80
Cristiano Piccini,https://www.fifaindex.com/static/FIFA20/images/players/5/201939.png,27,Italy,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,77,78,"6'2""",174lbs,Right,RB,€9M,€31K,73,32,68,73,34.0,73,37,62,74,76,78,64.0,77,64.0,68,70.0,74,79,35,74,78.0,66.0,57.0,35,80.0,74,8,9,5,7,11
Phil Jones,https://www.fifaindex.com/static/FIFA20/images/players/5/194957.png,27,England,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,78,78,"6'1""",157lbs,Right,CB,€9.5M,€90K,60,44,77,70,49.0,55,35,64,57,54,55,52.0,76,55.0,68,81.0,64,78,49,87,80.0,42.0,54.0,50,65.0,75,10,8,6,16,11
